,선수,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연도,포지션,생일
585,샌즈,1.05,25,93,86,17,27,1,1,12,66,37,0,1,6,0,0,27,2,0,1,.314,.355,.767,1.122,.445,171.5,1.05,2018,RF,1987-09-28
586,오정복,1.04,81,213,195,24,69,13,0,2,88,16,0,1,9,5,0,24,5,3,1,.354,.395,.451,.847,.378,117.8,1.04,2017,LF,1986-10-13
587,김성욱,1.04,111,358,323,49,84,13,2,13,140,45,11,2,29,1,0,64,10,2,3,.260,.320,.433,.754,.326,86.0,1.04,2018,CF,1993-05-01
588,송광민,1.04,122,486,454,50,119,21,0,7,161,51,8,2,21,3,0,91,18,3,5,.262,.296,.355,.651,.300,80.0,1.04,2019,3B,1983-06-24
589,박준서,1.03,87,207,182,21,50,9,3,2,71,12,5,1,11,1,0,33,2,12,1,.275,.318,.390,.708,.312,91.8,1.03,2012,2B,1981-12-11
590,이지영,1.03,124,400,361,36,110,10,1,1,125,55,1,2,14,4,0,32,10,16,5,.305,.333,.346,.680,.303,69.6,1.03,2015,C,1986-02-27
591,김강민,1.03,96,328,293,43,72,17,0,4,101,31,7,4,23,7,0,83,6,4,1,.246,.315,.345,.660,.302,72.9,1.03,2015,CF,1982-09-13
592,전병우,1.02,27,77,66,18,24,7,0,3,40,13,3,0,9,1,0,24,1,0,1,.364,.442,.606,1.048,.447,163.5,1.02,2018,3B,1992-10-24
593,강한울,1.02,135,448,412,58,125,9,3,0,140,24,12,7,26,0,0,57,4,9,1,.303,.344,.340,.684,.312,77.8,1.02,2017,SS,1991-09-12
594,정상호,1.02,35,66,62,14,20,4,0,6,42,14,0,0,2,2,0,19,2,0,0,.323,.364,.677,1.041,.448,171.5,1.02,2010,C,1982-12-24
595,박정권,1.02,122,507,453,54,114,21,2,13,178,53,9,3,42,3,5,103,9,6,3,.252,.317,.393,.710,.323,91.6,1.02,2011,1B,1981-07-21
596,오재일,1.01,55,144,117,16,35,12,0,3,56,28,0,1,20,3,2,28,0,1,3,.299,.406,.479,.884,.400,140.0,1.01,2013,1B,1986-10-29
597,박계범,1.01,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,.256,.354,.387,.740,.336,99.9,1.01,2019,SS,1996-01-11
598,이홍구,1.01,106,273,241,27,64,16,2,9,111,45,0,1,19,4,1,66,5,3,6,.266,.322,.461,.783,.338,85.2,1.01,2016,C,1990-12-11
599,김혜성,1.00,136,473,430,79,116,15,6,5,158,45,31,6,33,5,1,119,6,3,2,.270,.328,.367,.695,.311,75.0,1.00,2018,2B,1999-01-27
600,모창민,1.00,63,147,133,16,44,8,0,5,67,20,3,2,9,1,0,24,7,1,3,.331,.370,.504,.874,.384,118.4,1.00,2016,3B,1985-05-08
601,김민혁,1.00,127,521,466,68,131,10,1,0,143,32,22,10,32,13,0,61,8,5,5,.281,.341,.307,.648,.309,82.7,1.00,2019,LF,1995-11-21
602,손시헌,1.00,93,268,234,35,59,14,1,1,78,26,3,1,21,6,0,38,5,6,1,.252,.328,.333,.662,.311,78.9,1.00,2013,SS,1980-10-19
603,하주석,1.00,115,441,405,58,113,21,1,10,166,57,5,7,18,9,1,115,3,8,1,.279,.323,.410,.733,.326,77.1,1.00,2016,SS,1994-02-25
604,조성환,1.00,117,459,407,45,99,19,0,6,136,36,9,6,37,3,1,87,11,10,2,.243,.310,.334,.644,.299,75.7,1.00,2011,2B,1976-12-23
605,이병규,0.99,73,202,172,24,50,6,1,2,64,26,1,1,26,3,0,47,0,1,0,.291,.393,.372,.765,.368,118.2,0.99,2013,1B,1983-10-09
606,지석훈,0.98,137,466,415,53,111,15,0,11,159,46,4,1,23,16,0,85,9,9,3,.267,.328,.383,.711,.319,81.0,0.98,2015,3B,1984-03-17
607,손주인,0.98,120,400,341,49,99,11,0,5,125,31,3,2,30,8,0,42,8,17,4,.290,.358,.367,.724,.324,82.1,0.98,2014,2B,1983-12-01
608,나주환,0.98,119,420,362,54,95,24,0,12,155,56,5,6,38,5,0,66,2,13,2,.262,.339,.428,.767,.328,85.9,0.98,2018,SS,1984-06-14
609,정의윤,0.98,81,256,233,19,66,18,1,2,92,27,2,2,13,3,1,34,4,3,4,.283,.324,.395,.719,.330,104.3,0.98,2012,LF,1986-07-25
610,이지영,0.98,129,419,390,36,116,12,0,7,149,50,3,2,12,7,0,32,13,8,2,.297,.329,.382,.711,.321,75.2,0.98,2016,C,1986-02-27
611,신종길,0.97,58,144,131,22,42,6,3,1,57,18,16,2,4,4,0,25,1,5,0,.321,.360,.435,.795,.353,107.3,0.97,2010,RF,1983-12-31
612,김상훈,0.97,107,354,300,25,73,11,0,4,96,39,1,2,34,4,0,43,11,14,2,.243,.327,.320,.647,.296,69.5,0.97,2010,C,1977-10-27
613,이대형,0.95,104,398,354,56,88,11,5,1,112,24,34,17,30,2,0,78,0,11,1,.249,.310,.316,.627,.292,70.3,0.95,2011,CF,1983-07-19
614,모창민,0.95,81,314,287,38,80,10,1,17,143,62,2,3,21,2,0,51,10,0,4,.279,.328,.498,.826,.351,101.4,0.95,2018,3B,1985-05-08
615,임재철,0.94,36,105,84,20,27,8,0,2,41,10,0,2,16,1,0,16,4,3,1,.321,.431,.488,.920,.414,154.2,0.94,2011,RF,1976-04-08
616,아수아헤,0.94,48,194,163,34,41,5,4,2,60,21,3,2,26,1,1,24,0,3,1,.252,.356,.368,.724,.334,102.2,0.94,2019,2B,1991-11-02
617,김성현,0.94,88,191,163,28,39,8,3,2,59,14,6,2,12,5,0,26,2,11,0,.239,.311,.362,.673,.301,83.7,0.94,2012,SS,1987-03-09
618,이진영,0.94,97,355,323,43,89,18,1,2,115,37,3,2,26,2,0,29,9,2,2,.276,.331,.356,.688,.324,92.6,0.94,2011,RF,1980-06-15
619,서상우,0.92,58,171,159,29,54,8,0,6,80,22,5,1,9,3,0,31,2,0,0,.340,.386,.503,.889,.398,140.0,0.92,2015,DH,1989-09-17
620,박동원,0.92,103,284,256,33,69,9,0,11,111,39,2,1,17,3,0,56,9,6,2,.270,.320,.434,.754,.325,86.5,0.92,2017,C,1990-04-07
621,권희동,0.92,104,391,343,43,97,19,1,8,142,57,1,3,35,4,2,58,5,5,4,.283,.352,.414,.766,.335,92.3,0.92,2018,LF,1990-12-30
622,조영훈,0.92,103,146,124,20,35,8,0,8,67,35,3,0,19,0,0,36,1,1,2,.282,.372,.540,.913,.392,129.5,0.92,2015,1B,1982-11-12
623,로메로,0.92,76,305,265,30,67,16,0,12,119,50,2,0,29,4,1,48,9,0,7,.253,.328,.449,.777,.340,104.2,0.92,2015,1B,1986-09-24
624,김태완,0.91,65,108,95,14,33,7,0,2,46,15,0,0,8,4,0,17,4,1,0,.347,.421,.484,.905,.409,130.5,0.91,2014,3B,1981-09-19
625,정훈,0.91,91,194,174,33,53,10,1,7,86,26,4,2,16,1,1,39,4,0,3,.305,.361,.494,.855,.367,110.7,0.91,2018,1B,1987-07-18
626,박석민,0.91,103,375,318,40,81,14,1,16,145,55,1,0,39,15,4,80,11,0,3,.255,.360,.456,.816,.354,103.4,0.91,2018,DH,1985-06-22
627,노수광,0.91,77,238,207,43,64,4,2,4,84,30,12,2,20,1,0,46,0,10,0,.309,.373,.406,.779,.347,90.9,0.91,2016,RF,1990-08-06
628,조셉,0.91,55,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,.274,.332,.426,.758,.347,115.6,0.91,2019,1B,1991-07-16
629,박찬호,0.91,133,541,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,.260,.300,.317,.618,.289,68.7,0.91,2019,3B,1995-06-05
630,이영욱,0.91,111,234,203,37,47,9,3,3,71,20,14,6,21,4,0,68,1,3,3,.232,.312,.350,.661,.308,81.8,0.91,2011,CF,1985-10-11
631,임재철,0.91,70,143,112,19,29,5,1,0,36,10,2,0,27,4,0,18,4,0,0,.259,.420,.321,.741,.372,120.7,0.91,2013,RF,1976-04-08
632,배영섭,0.91,92,244,218,39,66,11,1,6,97,26,1,0,19,3,1,44,5,3,1,.303,.365,.445,.810,.357,106.3,0.91,2017,LF,1986-06-27
633,김용의,0.91,109,348,301,42,83,6,5,5,114,34,21,7,34,0,2,58,6,10,3,.276,.346,.379,.725,.330,91.8,0.91,2013,1B,1985-08-20
634,이해창,0.90,114,283,254,33,69,11,0,11,113,44,1,4,19,1,1,50,5,6,2,.272,.323,.445,.767,.327,84.1,0.90,2017,C,1987-05-11
635,채태인,0.90,130,420,376,44,110,18,0,15,173,75,0,0,34,5,3,107,10,1,4,.293,.356,.460,.816,.353,101.8,0.90,2018,1B,1982-10-11
636,오승택,0.89,62,199,187,36,52,11,1,4,77,22,9,0,11,0,0,39,4,0,1,.278,.317,.412,.728,.334,101.2,0.89,2019,1B,1991-11-18
637,오선진,0.89,65,209,184,23,57,11,0,2,74,21,3,5,15,4,0,22,5,4,2,.310,.371,.402,.773,.346,99.0,0.89,2017,2B,1989-07-07
638,안익훈,0.89,108,248,219,38,70,5,0,1,78,16,3,2,18,4,0,28,3,5,2,.320,.379,.356,.735,.337,93.6,0.89,2017,CF,1996-02-12
639,이지영,0.88,106,331,308,40,87,5,1,1,97,39,5,1,15,1,1,28,14,6,1,.282,.317,.315,.632,.293,73.3,0.88,2019,C,1986-02-27
640,이현곤,0.87,104,257,222,24,59,10,1,1,74,17,1,1,20,2,0,38,4,11,2,.266,.329,.333,.663,.304,78.4,0.87,2011,SS,1980-02-21
641,김민우,0.87,69,230,197,20,45,6,2,5,70,25,5,4,22,3,1,49,2,6,2,.228,.313,.355,.668,.307,88.0,0.87,2012,3B,1979-03-21
642,조중근,0.87,36,117,98,14,32,5,2,3,50,16,2,1,12,1,0,22,2,6,0,.327,.405,.510,.916,.400,144.2,0.87,2011,DH,1982-12-20
643,김민우,0.87,87,210,167,34,42,10,0,3,61,15,7,2,36,1,0,46,2,6,0,.252,.387,.365,.753,.348,93.6,0.87,2014,SS,1979-03-21
644,이지영,0.87,54,145,135,10,41,3,0,0,44,13,0,0,4,4,0,16,4,2,0,.304,.343,.326,.669,.319,96.3,0.87,2012,C,1986-02-27
645,박동원,0.85,127,454,411,44,102,25,1,14,171,70,3,1,27,7,0,93,18,6,3,.248,.304,.416,.720,.317,71.1,0.85,2016,C,1990-04-07
646,정주현,0.85,115,339,303,48,79,14,2,6,115,31,18,3,27,2,0,68,9,6,1,.261,.324,.380,.704,.310,76.9,0.85,2018,2B,1990-10-13
647,김민식,0.84,125,365,310,53,76,9,3,6,109,37,5,2,39,3,0,63,8,11,2,.245,.333,.352,.685,.304,71.1,0.84,2018,C,1989-06-28
648,이인구,0.84,81,182,161,26,43,5,2,2,58,14,6,1,17,3,0,22,4,1,0,.267,.348,.360,.708,.337,101.0,0.84,2011,LF,1980-11-07
649,박정권,0.84,125,468,422,59,117,17,3,18,194,59,4,0,35,5,0,99,7,2,4,.277,.337,.460,.797,.353,95.5,0.84,2016,1B,1981-07-21
650,발디리스,0.84,44,190,154,24,41,6,0,8,71,33,0,0,31,2,0,17,9,0,3,.266,.390,.461,.851,.384,115.5,0.84,2016,3B,1983-01-05
651,강봉규,0.83,89,279,232,38,55,12,0,4,79,26,8,0,40,2,0,44,8,4,1,.237,.353,.341,.693,.327,90.0,0.83,2010,LF,1978-01-12
652,조동화,0.83,105,405,332,52,85,11,3,0,102,19,24,9,46,8,1,76,3,16,3,.256,.357,.307,.665,.314,80.8,0.83,2013,RF,1981-03-22
653,김성훈,0.82,47,166,151,27,48,4,2,0,56,18,4,2,12,1,0,16,2,1,1,.318,.370,.371,.741,.341,97.0,0.82,2017,2B,1993-10-27
654,신본기,0.82,25,104,81,13,25,4,0,1,32,10,0,1,13,8,0,12,3,2,0,.309,.451,.395,.846,.402,128.1,0.82,2016,SS,1989-03-21
655,김원섭,0.82,87,316,269,36,73,18,2,2,101,30,1,3,32,0,1,28,4,10,5,.271,.343,.375,.719,.326,93.8,0.82,2011,LF,1978-12-18
656,문규현,0.82,77,275,235,33,66,16,0,2,88,27,5,2,26,0,0,30,7,12,2,.281,.350,.374,.724,.322,76.0,0.82,2014,SS,1983-07-05
657,이천웅,0.82,103,320,276,38,81,10,1,6,111,41,6,9,34,3,0,49,3,6,1,.293,.376,.402,.778,.356,100.0,0.82,2016,RF,1988-10-20
658,이성열,0.81,86,219,198,29,57,7,3,10,100,29,0,0,11,8,0,62,3,2,0,.288,.350,.505,.855,.374,107.5,0.81,2016,LF,1984-07-13
659,김재환,0.81,52,96,85,12,26,6,0,3,41,13,1,0,11,0,1,12,3,0,0,.306,.385,.482,.868,.386,127.2,0.81,2014,C,1988-09-22
660,모창민,0.81,103,239,214,23,62,14,0,6,94,35,5,0,18,0,0,52,5,4,3,.290,.340,.439,.780,.342,96.3,0.81,2015,3B,1985-05-08
661,히메네스,0.81,51,198,181,29,50,6,1,7,79,30,3,5,13,3,0,19,8,0,1,.276,.333,.436,.770,.341,100.6,0.81,2017,3B,1988-01-18
662,최주환,0.80,82,211,189,38,53,14,0,4,79,31,1,1,14,2,0,25,1,4,2,.280,.333,.418,.751,.332,89.3,0.80,2014,3B,1988-02-28
663,박헌도,0.80,108,267,218,31,54,13,0,8,91,42,0,2,37,7,0,52,6,3,2,.248,.371,.417,.789,.357,102.5,0.80,2015,LF,1987-01-01
664,최준석,0.80,125,464,409,43,119,15,0,14,176,82,0,0,49,1,0,89,24,0,5,.291,.364,.430,.795,.356,104.3,0.80,2017,DH,1983-02-15
665,박기남,0.80,76,173,147,26,40,6,0,3,55,24,3,3,18,3,0,27,1,4,1,.272,.361,.374,.735,.338,97.5,0.80,2010,3B,1981-08-14
666,최승준,0.80,76,231,199,31,53,5,0,19,115,42,0,0,28,3,1,66,5,0,1,.266,.364,.578,.942,.401,124.5,0.80,2016,1B,1988-01-11
667,이천웅,0.80,75,266,232,35,66,14,0,2,86,27,8,3,24,6,2,45,10,4,0,.284,.366,.371,.737,.335,93.0,0.80,2017,LF,1988-10-20
668,이성열,0.79,83,246,221,23,56,7,1,7,86,28,4,6,16,9,0,76,2,0,0,.253,.329,.389,.718,.339,102.2,0.79,2011,RF,1984-07-13
669,김회성,0.79,83,268,225,36,47,10,2,16,109,35,2,4,28,10,0,58,4,3,2,.209,.321,.484,.805,.345,93.5,0.79,2015,3B,1985-12-04
670,장성우,0.79,127,393,356,41,92,13,0,13,144,48,1,1,32,2,0,82,8,1,2,.258,.321,.404,.726,.320,79.1,0.79,2018,C,1990-01-17
671,이호준,0.79,114,417,368,41,93,12,0,14,147,62,2,2,44,1,2,78,10,3,1,.253,.333,.399,.733,.339,102.4,0.79,2011,DH,1976-02-08
672,조동찬,0.79,90,282,247,32,68,11,1,10,111,36,0,1,26,3,0,64,7,3,3,.275,.348,.449,.797,.354,95.6,0.79,2016,3B,1983-07-27
673,김규민,0.79,104,336,298,47,88,9,2,3,110,40,8,4,27,6,0,89,3,1,4,.295,.361,.369,.730,.333,90.1,0.79,2018,LF,1993-01-26
674,문선재,0.79,52,127,111,28,32,3,2,7,60,16,5,0,10,0,0,29,1,5,1,.288,.344,.541,.885,.367,112.2,0.79,2016,CF,1990-05-20
675,김호령,0.78,124,514,453,72,121,18,3,8,169,41,19,10,36,10,0,104,7,13,2,.267,.333,.373,.706,.320,73.2,0.78,2016,CF,1992-04-30
676,김재현,0.78,100,193,168,27,54,5,5,1,72,18,13,7,11,5,0,41,1,8,1,.321,.378,.429,.807,.356,100.7,0.78,2016,LF,1987-11-07
677,유강남,0.78,100,297,263,28,70,7,0,8,101,47,0,0,17,7,0,48,6,4,6,.266,.321,.384,.705,.317,76.5,0.78,2016,C,1992-07-15
678,박재상,0.78,97,384,321,57,82,19,1,6,121,42,9,6,38,7,1,63,2,13,5,.255,.342,.377,.719,.322,86.9,0.78,2010,LF,1982-07-20
679,오정복,0.78,100,263,221,39,60,10,1,7,93,36,1,4,25,4,0,40,4,9,4,.271,.350,.421,.771,.340,99.1,0.78,2010,LF,1986-10-13
680,최재훈,0.77,128,341,298,36,78,17,0,1,98,27,8,0,20,15,0,61,8,6,2,.262,.337,.329,.666,.305,71.1,0.77,2018,C,1989-08-27
681,박동원,0.77,76,198,174,32,44,7,2,6,73,26,0,0,13,5,0,41,7,5,1,.253,.321,.420,.741,.323,75.0,0.77,2014,C,1990-04-07
682,김성현,0.77,135,462,415,51,115,19,1,4,148,55,6,2,29,9,0,42,19,6,3,.277,.336,.357,.692,.312,75.6,0.77,2018,2B,1987-03-09
683,최윤석,0.76,109,213,170,17,39,1,0,1,43,15,6,5,33,2,0,36,4,7,1,.229,.359,.253,.612,.301,83.6,0.76,2012,SS,1987-03-28
684,한상훈,0.76,77,203,175,23,50,8,1,1,63,21,3,1,24,0,0,40,4,4,0,.286,.372,.360,.732,.340,83.1,0.76,2014,SS,1980-06-03
685,한나한,0.76,32,126,107,17,35,9,0,4,56,22,0,0,12,3,0,31,4,1,3,.327,.400,.523,.923,.403,143.3,0.76,2015,DH,1980-03-04
686,최재훈,0.76,60,108,89,12,24,5,0,2,35,8,0,0,6,8,0,19,3,4,1,.270,.365,.393,.759,.348,104.1,0.76,2013,C,1989-08-27
687,신종길,0.76,75,240,213,34,66,8,3,1,83,12,7,4,20,6,0,49,1,1,0,.310,.385,.390,.775,.364,102.0,0.76,2016,RF,1983-12-31
688,손주인,0.76,115,334,294,48,82,13,0,5,110,33,4,0,20,5,0,41,10,9,6,.279,.329,.374,.703,.310,77.3,0.76,2017,2B,1983-12-01
689,정상호,0.76,100,269,235,36,56,13,1,9,98,39,0,1,18,5,0,67,3,10,1,.238,.305,.417,.722,.309,70.8,0.76,2014,C,1982-12-24
690,정근우,0.75,88,305,277,37,77,10,1,3,98,30,8,5,20,4,1,43,11,3,1,.278,.334,.354,.688,.320,94.3,0.75,2019,CF,1982-10-02
691,박재홍,0.75,46,120,104,16,26,5,0,5,46,18,0,1,14,1,0,25,3,0,1,.250,.342,.442,.784,.364,128.4,0.75,2012,RF,1973-09-07
692,최주환,0.75,87,325,285,27,79,13,0,4,104,47,0,0,28,1,0,35,10,0,11,.277,.332,.365,.697,.323,95.2,0.75,2019,2B,1988-02-28
693,맥스웰,0.75,23,99,80,14,23,3,1,4,40,16,2,2,15,3,0,25,0,0,1,.288,.414,.500,.914,.411,134.0,0.75,2016,CF,1983-11-06
694,김원섭,0.75,111,428,353,43,84,16,3,5,121,28,15,6,56,2,0,63,5,16,1,.238,.345,.343,.687,.315,81.8,0.75,2010,LF,1978-12-18
695,고영민,0.74,100,344,293,53,60,10,1,6,90,35,11,3,34,14,1,67,4,2,1,.205,.316,.307,.623,.297,70.0,0.74,2010,2B,1984-02-08
696,강로한,0.74,104,306,288,38,69,15,6,4,108,25,7,1,13,3,0,107,3,1,1,.240,.279,.375,.654,.298,77.1,0.74,2019,2B,1992-05-13
697,윤석민,0.74,132,509,460,58,127,22,0,19,206,60,4,1,40,4,2,69,17,2,3,.276,.337,.448,.785,.340,92.2,0.74,2018,1B,1985-09-04
698,임훈,0.74,88,296,252,44,70,12,1,1,87,24,3,2,26,9,0,44,5,7,2,.278,.363,.345,.709,.328,87.6,0.74,2015,CF,1985-07-17
699,김문호,0.74,93,325,288,35,88,13,0,4,113,31,8,5,25,4,0,45,11,6,2,.306,.367,.392,.759,.345,98.5,0.74,2015,LF,1987-06-22
700,이명기,0.74,26,114,100,21,34,3,2,1,44,11,6,4,9,0,0,22,1,4,1,.340,.391,.440,.831,.375,122.5,0.74,2013,LF,1987-12-26
701,김대우,0.73,69,216,180,23,43,15,2,4,74,27,4,3,33,2,1,66,4,0,1,.239,.361,.411,.772,.361,112.7,0.73,2013,DH,1984-07-26
702,김문호,0.73,131,448,390,49,114,17,1,2,139,35,9,4,37,13,4,73,5,7,1,.292,.372,.356,.728,.333,89.6,0.73,2017,LF,1987-06-22
703,황재균,0.73,94,353,306,41,69,14,3,6,107,40,18,7,32,4,0,73,10,6,4,.225,.304,.350,.653,.297,70.1,0.73,2010,3B,1987-07-28
704,심우준,0.73,103,303,286,38,82,15,2,4,113,26,18,5,8,4,0,58,4,4,1,.287,.314,.395,.710,.314,74.8,0.73,2017,3B,1995-04-28
705,정훈,0.73,121,439,370,48,97,18,2,2,125,46,7,7,43,16,0,75,12,8,2,,,,,,,,2016,2B,1987-07-18
706,류지혁,0.73,90,134,118,34,34,5,0,3,48,9,3,2,10,3,0,28,0,2,1,,,,,,,,2016,SS,1994-01-13
707,송광민,0.72,77,291,263,30,68,11,0,6,97,34,4,4,21,2,1,68,5,3,2,,,,,,,,2010,3B,1983-06-24
708,박계현,0.72,62,144,129,23,44,9,0,0,53,13,7,3,8,0,0,24,2,4,3,,,,,,,,2014,3B,1992-03-08
709,이상호,0.72,95,241,227,33,76,8,0,0,84,15,12,2,7,2,0,15,7,5,0,,,,,,,,2017,2B,1989-02-05
710,스캇,0.72,33,130,105,17,28,7,0,6,53,17,0,0,20,3,1,18,1,0,2,,,,,,,,2014,DH,1978-06-25
711,박종윤,0.72,121,459,416,41,107,19,4,9,161,47,5,2,22,5,5,64,10,15,1,,,,,,,,2012,1B,1982-04-11
712,김주찬,0.71,100,363,337,35,101,16,0,3,126,32,3,1,17,5,3,44,6,1,3,,,,,,,,2019,1B,1981-03-25
713,최주환,0.71,47,100,91,12,27,5,1,2,40,10,1,0,8,0,1,9,3,0,1,,,,,,,,2013,2B,1988-02-28
714,배영섭,0.71,93,381,323,53,86,17,0,4,115,22,5,8,51,5,0,42,10,1,1,,,,,,,,2016,RF,1986-06-27
715,장성호,0.71,83,278,241,21,64,10,1,4,88,27,0,1,35,2,4,36,5,0,0,,,,,,,,2013,1B,1977-10-18
716,최준석,0.70,116,396,325,49,85,10,0,19,152,70,0,0,64,3,2,102,14,0,4,,,,,,,,2016,DH,1983-02-15
717,전민수,0.70,74,240,213,31,65,14,1,3,90,29,5,2,19,4,0,46,4,4,0,,,,,,,,2016,RF,1989-03-18
718,정성훈,0.70,88,205,183,22,54,11,0,4,77,28,0,1,16,5,1,49,5,0,1,,,,,,,,2018,1B,1980-06-27
719,백용환,0.70,65,177,154,22,36,6,0,10,72,30,3,1,19,1,0,47,5,0,3,,,,,,,,2015,C,1989-03-20
720,조영훈,0.70,98,280,245,33,60,11,0,6,89,34,7,2,27,5,0,76,1,0,3,,,,,,,,2011,1B,1982-11-12
721,오윤,0.70,94,208,173,16,40,3,1,3,54,20,5,2,29,3,0,41,7,3,0,,,,,,,,2012,LF,1981-09-08
722,이종범,0.69,97,273,235,27,65,15,1,3,91,24,3,2,22,1,1,35,6,12,3,,,,,,,,2011,RF,1970-08-15
723,고영민,0.68,41,77,67,13,22,1,0,3,32,11,4,2,6,3,0,22,4,0,1,,,,,,,,2015,1B,1984-02-08
724,류지혁,0.67,128,280,228,52,61,7,0,1,71,29,7,2,29,10,0,43,3,11,2,,,,,,,,2018,SS,1994-01-13
725,정진호,0.67,97,224,198,43,56,11,2,5,86,31,1,1,19,1,1,32,2,4,2,,,,,,,,2017,RF,1988-10-02
726,정상호,0.67,78,206,176,13,38,12,0,4,62,24,0,2,15,4,1,61,3,8,3,,,,,,,,2012,C,1982-12-24
727,오정복,0.67,96,344,306,45,93,11,2,5,123,36,1,0,28,0,1,32,5,6,4,,,,,,,,2016,LF,1986-10-13
728,김태군,0.66,132,420,362,33,96,19,0,3,124,34,0,1,16,22,0,43,11,18,2,,,,,,,,2017,C,1989-12-30
729,강동우,0.66,76,290,257,35,65,16,1,2,89,22,1,2,26,0,0,21,5,5,2,,,,,,,,2012,RF,1974-04-20
730,정수빈,0.66,101,357,315,46,74,11,7,0,99,32,24,6,18,3,1,46,5,19,2,,,,,,,,2012,CF,1990-10-07
731,서건창,0.66,37,160,141,28,48,12,0,0,60,15,2,0,12,3,0,19,1,2,2,,,,,,,,2018,DH,1989-08-22
732,고동진,0.66,97,222,195,31,49,9,0,3,67,19,3,2,15,5,0,33,5,6,1,,,,,,,,2011,CF,1980-04-01
733,김재호,0.66,122,421,341,50,86,14,1,3,111,54,2,8,54,2,0,59,14,13,11,,,,,,,,2014,SS,1985-03-21
734,황진수,0.65,60,133,117,18,34,6,2,1,47,16,4,0,10,3,0,38,2,2,1,,,,,,,,2017,3B,1989-02-15
735,임훈,0.65,93,281,229,34,61,9,6,0,82,24,5,5,33,0,0,33,4,16,3,,,,,,,,2011,RF,1985-07-17
736,조영훈,0.65,67,159,138,22,38,6,1,6,64,17,6,2,15,1,2,36,1,3,2,,,,,,,,2010,1B,1982-11-12
737,김성욱,0.65,116,333,287,38,66,16,1,9,111,36,6,4,29,3,1,69,4,9,5,,,,,,,,2019,CF,1993-05-01
738,오윤,0.64,67,143,117,14,34,5,0,0,39,17,0,0,20,3,0,29,3,1,2,,,,,,,,2013,LF,1981-09-08
739,김민식,0.64,88,170,144,17,37,9,0,2,52,14,1,1,21,2,0,38,2,3,0,,,,,,,,2016,C,1989-06-28
740,김상훈,0.64,67,150,123,19,24,3,0,3,36,16,0,0,24,1,0,26,2,1,1,,,,,,,,2011,C,1977-10-27
741,스몰린스키,0.64,55,228,205,32,47,14,1,9,90,42,3,1,16,5,0,31,7,0,2,,,,,,,,2019,RF,1989-02-09
742,정수성,0.63,87,244,203,37,44,7,3,2,63,9,19,9,29,5,1,42,1,6,1,,,,,,,,2012,RF,1978-03-04
743,이호준,0.63,77,187,164,13,49,10,0,7,80,36,1,0,18,1,2,41,2,1,3,,,,,,,,2017,DH,1976-02-08
744,김민하,0.63,54,141,116,18,28,6,0,1,37,8,4,2,18,4,0,40,4,3,0,,,,,,,,2015,CF,1989-02-25
745,최정민,0.63,88,177,155,29,51,4,1,0,57,11,8,4,8,7,0,48,1,6,1,,,,,,,,2016,2B,1989-06-02
746,김경언,0.63,50,184,158,19,40,7,2,0,51,11,8,4,23,0,1,29,2,2,1,,,,,,,,2010,CF,1982-12-07
747,추승우,0.63,111,304,260,39,61,8,4,2,83,23,10,6,29,6,0,62,3,6,3,,,,,,,,2010,CF,1979-09-24
748,이양기,0.63,93,164,147,9,41,13,0,0,54,17,3,0,9,6,0,31,5,2,0,,,,,,,,2011,RF,1981-01-31
749,박진만,0.62,57,161,138,12,29,7,1,5,53,19,3,1,14,0,0,27,2,8,1,,,,,,,,2012,SS,1976-11-30
750,조용호,0.53,87,211,188,15,55,6,3,0,67,19,3,4,21,0,0,,,,,,,,,,,,2019,RF,1989-09-09
751,박승욱,0.53,51,79,65,11,20,3,0,0,23,9,4,1,10,2,0,,,,,,,,,,,,2018,SS,1992-12-04
752,허정협,0.53,83,266,228,35,54,9,0,9,90,39,1,2,24,12,1,,,,,,,,,,,,2017,RF,1990-02-17
753,김태진,0.53,123,399,374,44,103,14,5,5,142,46,12,4,16,1,0,,,,,,,,,,,,2019,LF,1995-10-07
754,장영석,0.53,119,413,372,41,92,15,0,7,128,62,0,0,27,9,0,,,,,,,,,,,,2019,3B,1990-05-14
755,지석훈,0.53,105,357,309,25,68,21,2,3,102,35,2,1,31,7,0,,,,,,,,,,,,2013,2B,1984-03-17
756,오재원,0.52,127,390,334,43,79,16,1,7,118,40,7,7,47,2,1,,,,,,,,,,,,2017,2B,1985-02-09
757,박용근,0.52,53,110,99,17,26,2,2,2,38,19,8,2,7,2,0,,,,,,,,,,,,2010,3B,1984-01-21
758,이종환,0.52,42,135,123,6,35,9,0,1,47,12,1,0,12,0,0,,,,,,,,,,,,2013,RF,1986-05-08
759,장성우,0.52,43,99,84,10,23,4,0,1,30,9,0,0,12,1,0,,,,,,,,,,,,2014,C,1990-01-17
760,김경언,0.52,81,204,173,22,42,4,0,2,52,15,5,5,25,1,0,,,,,,,,,,,,2011,CF,1982-12-07
