,선수,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연도,포지션,생일,연봉,나이
379,노수광,0.57,117,445,388,69,97,16,1,2,121,28,27,10,46,2.0,0.0,68.0,1.0,9.0,0.0,0.25,0.333,0.312,0.644,0.304,80.9,0.57,2019,LF,1990-08-06,13000,30
380,노수광,1.24,131,425,382,72,109,18,3,6,151,39,16,9,25,9.0,2.0,84.0,3.0,4.0,5.0,0.285,0.34,0.395,0.735,0.327,87.0,1.24,2017,CF,1990-08-06,13000,28
381,노진혁,2.39,110,390,348,51,92,23,2,13,158,43,0,1,31,2.0,2.0,80.0,7.0,6.0,3.0,0.264,0.326,0.454,0.78,0.345,107.2,2.39,2019,SS,1989-07-15,14000,31
382,노진혁,1.7,125,458,420,52,119,21,4,11,181,42,4,3,33,2.0,0.0,92.0,8.0,1.0,2.0,0.28300000000000003,0.337,0.431,0.768,0.337,95.1,1.7,2018,3B,1989-07-15,4300,30
383,노진혁,0.27,117,361,327,32,73,19,2,3,105,27,1,3,26,1.0,1.0,83.0,5.0,5.0,1.0,0.223,0.282,0.321,0.603,0.28,57.6,0.27,2013,SS,1989-07-15,4800,25
384,도태훈,-0.22,32,51,47,3,9,1,0,1,13,4,0,0,4,0.0,0.0,7.0,2.0,0.0,0.0,0.191,0.255,0.277,0.532,0.246,32.1,-0.22,2017,3B,1993-03-18,2700,25
385,로하스,5.66,144,645,564,114,172,30,1,43,333,114,18,13,71,7.0,4.0,142.0,10.0,1.0,2.0,0.305,0.388,0.59,0.979,0.41,138.5,5.66,2018,CF,1990-05-24,80000,29
386,로하스,2.53,83,367,336,52,101,27,3,18,188,56,5,8,23,5.0,0.0,81.0,6.0,0.0,3.0,0.301,0.35200000000000004,0.56,0.911,0.388,124.7,2.53,2017,CF,1990-05-24,80000,28
387,로하스,5.49,142,576,520,68,167,29,3,24,274,104,4,4,48,3.0,5.0,120.0,4.0,0.0,5.0,0.321,0.379,0.527,0.905,0.405,151.3,5.49,2019,CF,1990-05-24,80000,30
388,류승현,0.05,57,163,150,14,38,8,1,0,48,14,3,2,9,4.0,0.0,29.0,3.0,0.0,0.0,0.253,0.313,0.32,0.633,0.301,,0.05,2019,1B,1997-07-01,"900,000-",23
389,류승현,0.34,35,85,75,9,23,3,1,1,31,13,0,0,7,1.0,0.0,12.0,2.0,1.0,1.0,0.307,0.369,0.413,0.782,0.34700000000000003,99.6,0.34,2018,3B,1997-07-01,"900,000-",22
390,류지혁,0.73,90,134,118,34,34,5,0,3,48,9,3,2,10,3.0,0.0,28.0,0.0,2.0,1.0,0.28800000000000003,0.35600000000000004,0.407,0.763,0.34600000000000003,94.0,0.73,2016,SS,1994-01-13,5700,23
391,류지혁,0.51,118,316,276,36,69,6,2,0,79,34,18,5,24,7.0,0.0,40.0,6.0,6.0,3.0,0.25,0.32299999999999995,0.28600000000000003,0.609,0.289,69.9,0.51,2019,SS,1994-01-13,9500,26
392,류지혁,0.41,125,330,297,60,77,13,4,3,107,26,7,5,21,4.0,0.0,55.0,2.0,8.0,0.0,0.259,0.317,0.36,0.677,0.301,70.7,0.41,2017,SS,1994-01-13,9500,24
393,류지혁,0.67,128,280,228,52,61,7,0,1,71,29,7,2,29,10.0,0.0,43.0,3.0,11.0,2.0,0.268,0.3720000000000001,0.311,0.6829999999999999,0.314,77.7,0.67,2018,SS,1994-01-13,9500,25
394,모상기,-0.04,32,85,74,7,14,3,0,4,29,11,0,0,10,0.0,0.0,29.0,2.0,0.0,1.0,,,,,,,-0.04,2011,DH,1987-01-03,3500,25
395,모창민,1.96,136,527,474,64,148,25,3,17,230,90,9,6,39,2.0,2.0,81.0,6.0,3.0,9.0,0.312,0.361,0.485,0.846,0.3670000000000001,113.7,1.96,2017,DH,1985-05-08,18500,33
396,모창민,1.18,122,468,419,62,110,15,0,16,173,72,14,3,37,0.0,0.0,82.0,13.0,8.0,4.0,0.263,0.32,0.413,0.733,0.322,76.4,1.18,2014,3B,1985-05-08,12500,30
397,모창민,0.81,103,239,214,23,62,14,0,6,94,35,5,0,18,0.0,0.0,52.0,5.0,4.0,3.0,0.29,0.34,0.439,0.78,0.342,96.3,0.81,2015,3B,1985-05-08,12500,31
398,모창민,0.95,81,314,287,38,80,10,1,17,143,62,2,3,21,2.0,0.0,51.0,10.0,0.0,4.0,0.279,0.328,0.498,0.826,0.35100000000000003,101.4,0.95,2018,3B,1985-05-08,18500,34
399,모창민,3.22,108,436,395,57,109,24,3,12,175,51,16,3,37,1.0,0.0,68.0,11.0,2.0,1.0,0.276,0.339,0.443,0.782,0.359,111.8,3.22,2013,3B,1985-05-08,8600,29
400,모창민,2.04,101,386,341,49,104,21,2,10,159,55,3,2,31,3.0,1.0,62.0,8.0,0.0,11.0,0.305,0.358,0.466,0.8240000000000001,0.371,124.4,2.04,2019,1B,1985-05-08,30000,35
401,모창민,-0.42,65,67,60,14,11,2,0,1,16,2,5,3,5,0.0,0.0,15.0,4.0,2.0,0.0,0.183,0.246,0.267,0.513,0.236,28.7,-0.42,2010,1B,1985-05-08,4200,26
402,모창민,1.0,63,147,133,16,44,8,0,5,67,20,3,2,9,1.0,0.0,24.0,7.0,1.0,3.0,0.331,0.37,0.504,0.8740000000000001,0.384,118.4,1.0,2016,3B,1985-05-08,11700,32
403,문규현,0.36,80,201,173,18,41,8,0,3,58,16,2,1,15,4.0,1.0,40.0,3.0,6.0,3.0,0.237,0.308,0.335,0.643,0.29,65.6,0.36,2010,SS,1983-07-05,4200,28
404,문규현,0.82,77,275,235,33,66,16,0,2,88,27,5,2,26,0.0,0.0,30.0,7.0,12.0,2.0,0.281,0.35,0.374,0.7240000000000001,0.322,76.0,0.82,2014,SS,1983-07-05,3000,32
405,문규현,0.11,79,116,101,10,24,2,0,0,26,6,2,0,11,0.0,0.0,23.0,1.0,2.0,2.0,0.238,0.307,0.257,0.564,0.274,54.3,0.11,2013,SS,1983-07-05,6800,31
406,문규현,-0.27,40,72,64,7,16,2,0,0,18,10,0,0,3,0.0,0.0,10.0,1.0,2.0,3.0,0.25,0.271,0.281,0.5529999999999999,0.25,43.9,-0.27,2019,3B,1983-07-05,18000,37
407,문규현,1.1,125,379,327,40,79,13,3,2,104,39,5,2,28,7.0,0.0,60.0,4.0,14.0,3.0,0.242,0.312,0.318,0.63,0.29100000000000004,70.5,1.1,2011,SS,1983-07-05,8400,29
408,문규현,0.27,120,368,316,38,86,10,0,4,108,40,2,3,29,1.0,0.0,39.0,10.0,19.0,2.0,0.272,0.333,0.342,0.675,0.301,62.9,0.27,2016,SS,1983-07-05,12000,34
409,문규현,0.06,110,337,304,38,82,15,2,6,119,42,2,1,10,2.0,1.0,42.0,10.0,18.0,3.0,0.27,0.295,0.391,0.6859999999999999,0.28600000000000003,57.8,0.06,2017,SS,1983-07-05,18000,35
410,문규현,0.48,122,349,316,42,87,19,1,6,126,41,3,1,18,0.0,0.0,45.0,9.0,9.0,6.0,0.275,0.309,0.399,0.708,0.302,68.4,0.48,2018,SS,1983-07-05,18000,36
411,문상철,-0.33,48,87,80,9,16,7,0,1,26,7,1,0,4,2.0,0.0,26.0,2.0,0.0,1.0,0.2,0.253,0.325,0.578,0.263,36.5,-0.33,2016,3B,1991-04-06,3600,26
412,문상철,-0.51,51,88,80,10,13,3,0,2,22,6,0,0,7,0.0,0.0,32.0,1.0,1.0,0.0,0.163,0.23,0.275,0.505,0.23,19.5,-0.51,2015,3B,1991-04-06,3600,25
413,문상철,-0.07,33,67,59,8,12,1,0,2,19,7,2,0,4,2.0,0.0,26.0,1.0,0.0,2.0,0.203,0.269,0.322,0.591,0.274,61.3,-0.07,2019,1B,1991-04-06,4000,29
414,문선재,0.79,52,127,111,28,32,3,2,7,60,16,5,0,10,0.0,0.0,29.0,1.0,5.0,1.0,0.28800000000000003,0.344,0.541,0.885,0.3670000000000001,112.2,0.79,2016,CF,1990-05-20,8000,27
415,문선재,0.05,35,107,92,17,24,6,1,2,38,14,0,3,10,1.0,0.0,24.0,0.0,2.0,2.0,0.261,0.333,0.413,0.746,0.326,,0.05,2017,LF,1990-05-20,7000,28
416,문선재,-0.24,103,245,212,27,48,13,1,5,78,27,9,6,23,3.0,0.0,54.0,4.0,6.0,1.0,0.226,0.31,0.368,0.6779999999999999,0.302,73.7,-0.24,2015,CF,1990-05-20,6500,26
417,문선재,0.2,93,240,217,31,58,10,1,4,82,25,8,5,13,3.0,0.0,71.0,1.0,6.0,1.0,0.267,0.316,0.378,0.6940000000000001,0.318,83.1,0.2,2013,1B,1990-05-20,7500,24
418,문우람,1.64,69,291,256,41,78,19,0,4,109,28,2,2,25,4.0,0.0,43.0,1.0,4.0,2.0,0.305,0.373,0.426,0.799,0.37,118.6,1.64,2013,RF,1992-03-08,6200,22
419,문우람,1.08,122,368,324,46,92,24,4,6,142,43,5,3,33,2.0,0.0,54.0,10.0,7.0,2.0,0.284,0.35200000000000004,0.438,0.79,0.349,92.1,1.08,2014,LF,1992-03-08,9000,23
420,문우람,0.05,63,138,119,22,28,10,0,2,44,22,1,1,12,3.0,1.0,30.0,1.0,1.0,3.0,0.235,0.314,0.37,0.684,0.306,,0.05,2015,RF,1992-03-08,9000,24
421,민병헌,3.36,123,520,447,73,136,21,0,14,199,71,3,4,47,19.0,2.0,74.0,14.0,1.0,6.0,0.304,0.389,0.445,0.8340000000000001,0.374,122.8,3.36,2017,RF,1987-03-10,100000,31
422,민병헌,2.62,129,561,491,80,149,20,2,12,209,75,7,3,50,8.0,0.0,74.0,15.0,6.0,6.0,0.303,0.373,0.426,0.799,0.36,112.3,2.62,2015,RF,1987-03-10,35000,29
423,민병헌,3.78,119,449,383,71,122,21,7,9,184,65,27,8,40,7.0,0.0,62.0,7.0,12.0,7.0,0.319,0.387,0.48,0.867,0.388,131.7,3.78,2013,RF,1987-03-10,14500,27
424,민병헌,3.05,118,494,443,74,141,21,0,17,213,66,8,3,35,8.0,3.0,68.0,10.0,2.0,6.0,0.318,0.374,0.481,0.855,0.37,113.1,3.05,2018,CF,1987-03-10,100000,32
425,민병헌,4.54,124,527,470,85,162,31,3,12,235,79,16,8,37,6.0,0.0,63.0,11.0,8.0,6.0,0.345,0.395,0.5,0.895,0.394,130.3,4.54,2014,RF,1987-03-10,35000,28
426,민병헌,4.24,134,579,511,98,166,31,4,16,253,87,9,2,48,15.0,1.0,91.0,18.0,1.0,4.0,0.325,0.396,0.495,0.8909999999999999,0.4,129.5,4.24,2016,RF,1987-03-10,55000,30
427,민병헌,3.53,101,420,369,52,112,24,2,9,167,43,13,6,42,5.0,0.0,55.0,9.0,1.0,3.0,0.304,0.38,0.453,0.8320000000000001,0.382,133.4,3.53,2019,CF,1987-03-10,125000,33
428,민병헌,0.29,64,80,70,23,20,2,1,0,24,4,11,4,9,0.0,2.0,14.0,0.0,1.0,0.0,0.28600000000000003,0.3670000000000001,0.343,0.71,0.325,88.9,0.29,2010,LF,1987-03-10,5800,24
429,박건우,1.47,70,175,158,31,54,12,0,5,81,26,2,1,12,3.0,0.0,29.0,2.0,2.0,0.0,0.342,0.399,0.513,0.912,0.403,143.3,1.47,2015,RF,1990-09-08,7000,26
430,박건우,-0.36,47,66,61,7,11,4,1,0,17,3,1,0,4,0.0,0.0,13.0,0.0,1.0,0.0,0.18,0.231,0.279,0.51,0.231,17.8,-0.36,2014,RF,1990-09-08,7000,25
431,박건우,7.01,131,543,483,91,177,40,2,20,281,78,20,3,41,10.0,2.0,64.0,15.0,5.0,4.0,0.366,0.424,0.5820000000000001,1.006,0.433,163.8,7.01,2017,CF,1990-09-08,37000,28
432,박건우,4.68,127,537,458,83,146,27,5,10,213,64,12,3,60,7.0,0.0,57.0,23.0,1.0,11.0,0.319,0.397,0.465,0.863,0.394,144.3,4.68,2019,RF,1990-09-08,45000,30
433,박건우,3.42,125,529,488,79,159,24,6,12,231,84,7,3,28,10.0,1.0,65.0,14.0,1.0,2.0,0.326,0.373,0.473,0.847,0.371,117.5,3.42,2018,CF,1990-09-08,37000,29
434,박건우,4.51,132,540,484,95,162,36,4,20,266,83,17,6,38,9.0,0.0,86.0,9.0,4.0,5.0,0.335,0.39,0.55,0.94,0.411,137.7,4.51,2016,RF,1990-09-08,19500,27
435,박건우,-0.07,34,51,48,12,13,1,0,1,17,7,2,3,1,1.0,0.0,11.0,4.0,1.0,0.0,0.271,0.3,0.354,0.654,0.302,72.7,-0.07,2013,RF,1990-09-08,3100,24
436,박경수,2.21,136,489,420,43,104,24,0,10,158,65,0,1,55,4.0,1.0,102.0,14.0,4.0,6.0,0.248,0.336,0.376,0.7120000000000001,0.329,98.4,2.21,2019,2B,1984-03-31,40000,36
437,박경수,4.04,121,476,402,64,126,22,1,20,210,80,3,1,65,5.0,2.0,80.0,9.0,0.0,4.0,0.313,0.412,0.522,0.934,0.415,135.0,4.04,2016,2B,1984-03-31,23000,33
438,박경수,4.57,137,537,440,75,125,30,1,22,223,73,6,4,74,13.0,1.0,115.0,8.0,6.0,4.0,0.284,0.399,0.507,0.906,0.397,131.0,4.57,2015,2B,1984-03-31,23000,32
439,박경수,0.41,87,201,162,33,37,6,1,2,51,19,7,1,25,5.0,0.0,33.0,6.0,6.0,3.0,0.228,0.344,0.315,0.6579999999999999,0.307,70.0,0.41,2014,2B,1984-03-31,23000,31
440,박경수,1.93,80,286,231,33,60,21,0,3,90,21,10,2,30,16.0,0.0,52.0,3.0,8.0,1.0,0.26,0.381,0.39,0.7709999999999999,0.354,108.4,1.93,2010,2B,1984-03-31,8000,27
441,박경수,1.33,111,386,317,36,72,11,1,4,97,26,10,8,48,7.0,0.0,66.0,7.0,10.0,4.0,0.227,0.338,0.306,0.644,0.307,80.5,1.33,2011,SS,1984-03-31,9000,28
442,박경수,1.71,131,511,442,62,116,27,1,15,190,66,1,2,57,6.0,4.0,118.0,14.0,3.0,3.0,0.262,0.35200000000000004,0.43,0.782,0.345,95.9,1.71,2017,2B,1984-03-31,23000,34
443,박경수,2.51,135,528,458,65,120,21,0,25,216,74,4,1,58,9.0,2.0,129.0,16.0,0.0,3.0,0.262,0.354,0.472,0.826,0.35700000000000004,104.0,2.51,2018,2B,1984-03-31,23000,35
444,박경완,3.78,129,472,381,51,100,20,0,14,162,67,1,1,46,27.0,2.0,88.0,11.0,15.0,3.0,0.262,0.379,0.425,0.804,0.359,111.8,3.78,2010,C,1972-07-11,50000,39
445,박계범,1.01,58,204,168,26,43,8,1,4,65,25,5,1,22,5.0,0.0,45.0,7.0,6.0,3.0,0.256,0.354,0.387,0.74,0.336,99.9,1.01,2019,SS,1996-01-11,5500,24
446,박계현,0.72,62,144,129,23,44,9,0,0,53,13,7,3,8,0.0,0.0,24.0,2.0,4.0,3.0,0.341,0.371,0.411,0.782,0.349,98.3,0.72,2014,3B,1992-03-08,6000,23
447,박기남,0.8,76,173,147,26,40,6,0,3,55,24,3,3,18,3.0,0.0,27.0,1.0,4.0,1.0,0.272,0.361,0.374,0.735,0.338,97.5,0.8,2010,3B,1981-08-14,6500,30
448,박기남,0.55,85,184,152,23,34,9,0,3,52,16,4,2,20,4.0,0.0,31.0,7.0,8.0,0.0,0.224,0.33,0.342,0.672,0.309,82.2,0.55,2011,3B,1981-08-14,7000,31
449,박기남,1.23,99,274,225,28,57,16,0,2,79,25,1,0,27,5.0,0.0,34.0,1.0,13.0,4.0,0.253,0.341,0.35100000000000003,0.6920000000000001,0.315,93.7,1.23,2012,3B,1981-08-14,10000,32
450,박기남,1.41,91,214,174,35,50,11,0,4,73,21,2,0,25,2.0,0.0,28.0,4.0,11.0,2.0,0.287,0.379,0.42,0.799,0.35600000000000004,109.9,1.41,2013,3B,1981-08-14,9000,33
451,박기남,0.5,90,202,171,21,49,9,0,3,67,21,2,5,22,2.0,0.0,25.0,5.0,5.0,2.0,0.287,0.371,0.392,0.762,0.345,92.0,0.5,2014,3B,1981-08-14,9000,34
452,박기남,0.1,51,93,69,8,14,3,0,0,17,3,1,1,21,0.0,0.0,19.0,3.0,3.0,0.0,0.203,0.389,0.246,0.635,0.317,77.4,0.1,2015,3B,1981-08-14,9000,35
453,박기혁,-0.11,31,70,60,4,12,2,0,0,14,9,1,3,9,0.0,0.0,11.0,3.0,1.0,0.0,0.2,0.304,0.233,0.5379999999999999,0.269,51.0,-0.11,2013,SS,1981-06-04,7000,33
454,박기혁,-0.54,97,263,235,22,56,11,1,2,75,18,2,1,16,2.0,0.0,51.0,9.0,7.0,3.0,0.238,0.289,0.319,0.608,0.271,47.0,-0.54,2017,SS,1981-06-04,15000,37
455,박기혁,-0.52,48,166,153,10,33,3,0,0,36,13,2,0,6,1.0,0.0,18.0,5.0,5.0,1.0,0.21600000000000005,0.248,0.235,0.484,0.225,22.8,-0.52,2010,SS,1981-06-04,10000,30
456,박기혁,0.1,117,348,308,36,84,13,0,2,103,34,0,2,27,1.0,0.0,53.0,8.0,10.0,2.0,0.273,0.331,0.334,0.6659999999999999,0.306,64.1,0.1,2016,SS,1981-06-04,15000,36
457,박노민,0.47,37,81,72,10,18,3,0,2,27,11,1,0,6,1.0,0.0,16.0,1.0,2.0,0.0,0.25,0.317,0.375,0.6920000000000001,0.318,88.0,0.47,2011,C,1985-08-18,3500,27
458,박동원,2.92,112,361,317,50,94,15,1,10,141,55,1,0,34,2.0,0.0,56.0,10.0,7.0,1.0,0.297,0.3670000000000001,0.445,0.812,0.3670000000000001,125.2,2.92,2019,C,1990-04-07,18000,30
459,박동원,0.92,103,284,256,33,69,9,0,11,111,39,2,1,17,3.0,0.0,56.0,9.0,6.0,2.0,0.27,0.32,0.434,0.754,0.325,86.5,0.92,2017,C,1990-04-07,18000,28
460,박동원,0.01,69,106,98,5,19,6,0,1,28,6,1,0,7,,,,,,,,,,,,,,2013,C,1990-04-07,3400,24
461,박동원,0.85,127,454,411,44,102,25,1,14,171,70,3,1,27,7.0,0.0,93.0,18.0,6.0,3.0,0.248,0.304,0.416,0.72,0.317,71.1,0.85,2016,C,1990-04-07,20000,27
462,박동원,0.39,39,128,117,19,29,3,0,6,50,17,0,0,9,0.0,1.0,25.0,3.0,2.0,0.0,0.248,0.302,0.4270000000000001,0.7290000000000001,0.308,75.6,0.39,2018,C,1990-04-07,18000,29
463,박동원,1.48,127,443,379,47,101,12,1,14,157,61,0,0,37,9.0,0.0,93.0,4.0,10.0,8.0,0.266,0.34,0.414,0.754,0.332,86.6,1.48,2015,C,1990-04-07,14000,26
464,박동원,0.77,76,198,174,32,44,7,2,6,73,26,0,0,13,5.0,0.0,41.0,7.0,5.0,1.0,0.253,0.321,0.42,0.741,0.32299999999999995,75.0,0.77,2014,C,1990-04-07,14000,25
465,박민우,4.09,121,515,435,84,149,16,6,3,186,55,20,6,55,8.0,1.0,70.0,9.0,10.0,7.0,0.343,0.42,0.428,0.847,0.387,122.1,4.09,2016,2B,1993-02-06,25000,24
466,박민우,4.72,125,526,468,89,161,23,8,1,203,45,18,7,41,9.0,1.0,40.0,10.0,2.0,6.0,0.344,0.403,0.434,0.836,0.387,135.8,4.72,2019,2B,1993-02-06,52000,27
467,박민우,2.93,115,460,411,68,133,22,5,5,180,33,17,5,32,10.0,3.0,51.0,4.0,3.0,4.0,0.324,0.383,0.438,0.821,0.363,112.9,2.93,2018,2B,1993-02-06,32000,26
468,박민우,3.75,118,491,416,87,124,21,9,1,166,40,50,10,56,11.0,0.0,89.0,5.0,4.0,4.0,0.298,0.392,0.399,0.7909999999999999,0.3670000000000001,106.9,3.75,2014,2B,1993-02-06,19000,22
469,박민우,4.71,106,452,388,84,141,25,4,3,183,47,11,1,46,11.0,0.0,51.0,8.0,3.0,4.0,0.363,0.441,0.472,0.913,0.412,145.5,4.71,2017,2B,1993-02-06,32000,25
470,박민우,0.23,32,47,41,10,11,1,0,0,12,6,9,2,5,0.0,0.0,6.0,3.0,0.0,1.0,0.268,0.34,0.293,0.633,0.31,78.1,0.23,2013,2B,1993-02-06,2600,21
471,박민우,4.42,141,617,520,111,158,31,6,3,210,47,46,16,73,14.0,0.0,108.0,4.0,3.0,7.0,0.304,0.399,0.404,0.8029999999999999,0.371,116.8,4.42,2015,2B,1993-02-06,19000,23
472,박병호,-0.18,78,192,160,25,30,4,0,7,55,22,5,1,26,2.0,3.0,55.0,5.0,2.0,2.0,0.188,0.305,0.344,0.649,0.293,67.4,-0.18,2010,1B,1986-07-10,3500,25
473,박병호,6.23,128,571,459,126,139,16,2,52,315,124,8,3,96,12.0,3.0,142.0,13.0,0.0,4.0,0.303,0.433,0.6859999999999999,1.119,0.466,162.9,6.23,2014,1B,1986-07-10,70000,29
474,박병호,7.76,140,622,528,129,181,35,1,53,377,146,10,3,78,12.0,6.0,161.0,10.0,0.0,4.0,0.343,0.436,0.7140000000000001,1.15,0.481,181.9,7.76,2015,1B,1986-07-10,150000,30
475,박병호,6.62,113,488,400,88,138,20,0,43,287,112,0,1,68,17.0,10.0,114.0,9.0,0.0,3.0,0.345,0.457,0.718,1.175,0.478,190.9,6.62,2018,1B,1986-07-10,150000,33
476,박병호,1.73,66,230,201,31,51,11,2,13,105,31,2,0,26,2.0,0.0,76.0,5.0,0.0,1.0,0.254,0.344,0.522,0.866,0.389,137.0,1.73,2011,1B,1986-07-10,6200,26
477,박병호,7.02,128,556,450,91,143,17,0,37,271,117,10,2,92,8.0,4.0,96.0,7.0,0.0,6.0,0.318,0.4370000000000001,0.602,1.039,0.462,181.1,7.02,2013,1B,1986-07-10,50000,28
478,박병호,6.51,133,560,469,76,136,34,0,31,263,105,20,9,73,11.0,3.0,111.0,6.0,0.0,7.0,0.29,0.393,0.561,0.954,0.43,174.5,6.51,2012,1B,1986-07-10,22000,27
479,박병호,5.46,122,532,432,92,121,22,0,33,242,98,0,1,78,13.0,5.0,117.0,7.0,0.0,9.0,0.28,0.399,0.56,0.959,0.422,165.8,5.46,2019,1B,1986-07-10,150000,34
480,박석민,7.89,127,549,443,79,138,19,3,23,232,91,2,3,72,27.0,5.0,83.0,8.0,2.0,5.0,0.312,0.433,0.524,0.957,0.438,179.9,7.89,2012,3B,1985-06-22,28000,28
481,박석민,1.73,101,382,319,43,78,15,0,14,135,56,1,2,50,13.0,0.0,92.0,17.0,0.0,0.0,0.245,0.369,0.423,0.792,0.359,107.5,1.73,2017,3B,1985-06-22,75000,33
482,박석민,4.78,126,506,427,77,131,20,0,32,247,104,2,0,56,16.0,2.0,95.0,18.0,2.0,4.0,0.307,0.404,0.578,0.982,0.424,144.1,4.78,2016,3B,1985-06-22,75000,32
483,박석민,0.91,103,375,318,40,81,14,1,16,145,55,1,0,39,15.0,4.0,80.0,11.0,0.0,3.0,0.255,0.36,0.456,0.816,0.354,103.4,0.91,2018,DH,1985-06-22,75000,34
484,박석민,5.38,135,559,448,90,144,25,0,26,247,116,3,0,83,19.0,0.0,97.0,13.0,1.0,8.0,0.321,0.441,0.551,0.992,0.4370000000000001,156.8,5.38,2015,3B,1985-06-22,75000,31
485,박석민,4.52,110,425,356,77,112,21,0,27,214,72,0,1,54,12.0,3.0,62.0,12.0,0.0,3.0,0.315,0.419,0.601,1.02,0.438,147.7,4.52,2014,3B,1985-06-22,37000,30
486,박석민,4.65,128,537,457,74,127,24,3,15,202,86,3,1,59,13.0,1.0,105.0,13.0,5.0,3.0,0.278,0.374,0.442,0.816,0.376,127.6,4.65,2011,3B,1985-06-22,18000,27
487,박석민,3.31,112,444,360,49,96,17,1,19,172,74,1,2,65,12.0,2.0,69.0,17.0,4.0,3.0,0.267,0.393,0.478,0.871,0.393,139.3,3.31,2019,3B,1985-06-22,70000,35
488,박석민,4.9,112,457,356,58,108,18,0,15,171,64,3,2,76,15.0,4.0,84.0,14.0,5.0,5.0,0.303,0.44,0.48,0.921,0.415,148.8,4.9,2010,3B,1985-06-22,13500,26
489,박석민,5.85,117,474,396,61,126,24,0,18,204,76,4,2,54,21.0,1.0,73.0,13.0,0.0,2.0,0.318,0.425,0.515,0.94,0.4320000000000001,162.0,5.85,2013,3B,1985-06-22,37000,29
490,박성한,-0.42,42,59,52,3,7,1,0,0,8,2,0,0,7,0.0,0.0,16.0,0.0,0.0,0.0,0.135,0.237,0.154,0.391,0.201,2.6,-0.42,2018,SS,1998-03-30,"900,000-",21
491,박세혁,3.06,137,505,441,58,123,19,9,4,172,63,8,2,41,7.0,1.0,68.0,5.0,10.0,6.0,0.279,0.34600000000000003,0.39,0.736,0.334,101.3,3.06,2019,C,1990-01-09,23200,30
492,박세혁,1.26,89,194,170,37,48,12,0,3,69,22,5,0,16,4.0,0.0,55.0,0.0,3.0,1.0,0.282,0.35600000000000004,0.406,0.762,0.337,95.0,1.26,2018,C,1990-01-09,10000,29
493,박세혁,0.04,87,210,172,26,36,5,1,5,58,23,2,2,22,2.0,0.0,45.0,1.0,11.0,3.0,0.209,0.302,0.337,0.639,0.281,,0.04,2016,C,1990-01-09,6000,27
494,박세혁,1.19,97,237,201,41,57,8,0,5,80,26,2,1,19,5.0,0.0,44.0,1.0,8.0,4.0,0.284,0.354,0.398,0.752,0.329,91.5,1.19,2017,C,1990-01-09,10000,28
495,박승욱,-0.3,73,184,158,25,32,3,2,3,48,11,0,4,16,4.0,0.0,57.0,1.0,5.0,1.0,0.203,0.29100000000000004,0.304,0.594,0.269,47.7,-0.3,2017,SS,1992-12-04,4500,26
496,박승욱,-0.49,101,244,222,24,52,3,4,3,72,15,4,1,14,2.0,0.0,50.0,5.0,6.0,0.0,0.234,0.28600000000000003,0.324,0.61,0.279,63.5,-0.49,2019,1B,1992-12-04,8000,28
497,박승욱,0.28,36,103,87,19,24,4,1,3,39,13,2,1,9,2.0,0.0,28.0,0.0,4.0,1.0,0.276,0.354,0.448,0.802,0.34700000000000003,92.5,0.28,2016,SS,1992-12-04,3500,25
498,박승욱,0.53,51,79,65,11,20,3,0,0,23,9,4,1,10,2.0,0.0,16.0,1.0,2.0,0.0,0.308,0.416,0.354,0.769,0.35600000000000004,105.0,0.53,2018,SS,1992-12-04,4500,27
499,박용근,0.52,53,110,99,17,26,2,2,2,38,19,8,2,7,2.0,0.0,20.0,2.0,2.0,0.0,0.263,0.324,0.384,0.708,0.321,86.1,0.52,2010,3B,1984-01-21,4000,27
500,박용근,-0.02,31,86,74,5,17,4,1,1,26,6,0,1,11,0.0,0.0,14.0,1.0,0.0,1.0,,,,,,,-0.02,2016,3B,1984-01-21,4000,33
501,박용택,2.35,115,450,414,57,125,21,1,15,193,64,13,3,26,5.0,4.0,71.0,8.0,1.0,4.0,0.302,0.34700000000000003,0.466,0.8140000000000001,0.37,123.6,2.35,2011,DH,1979-04-21,35000,33
502,박용택,0.34,64,215,195,19,55,9,0,1,67,22,3,1,18,0.0,1.0,30.0,3.0,0.0,2.0,0.282,0.34,0.344,0.6829999999999999,0.321,92.7,0.34,2019,DH,1979-04-21,80000,41
503,박용택,2.96,138,578,509,84,176,24,0,11,233,90,6,6,58,4.0,5.0,71.0,13.0,0.0,7.0,0.34600000000000003,0.412,0.458,0.87,0.397,126.9,2.96,2016,DH,1979-04-21,80000,38
504,박용택,4.49,124,549,464,71,159,24,2,9,214,73,11,9,75,1.0,3.0,65.0,15.0,2.0,7.0,0.343,0.43,0.461,0.8909999999999999,0.405,136.1,4.49,2014,CF,1979-04-21,80000,36
505,박용택,3.85,128,533,487,66,159,28,2,18,245,83,11,4,34,4.0,1.0,73.0,12.0,1.0,7.0,0.326,0.37,0.503,0.873,0.384,131.3,3.85,2015,LF,1979-04-21,80000,37
506,박용택,1.38,134,583,524,89,159,38,1,15,244,76,3,3,47,5.0,0.0,107.0,21.0,0.0,7.0,0.303,0.362,0.466,0.828,0.362,112.7,1.38,2018,DH,1979-04-21,80000,40
